School,Mens Soccer Roster URL,Mens Soccer Statistics URL
Washington,https://gohuskies.com/sports/mens-soccer/roster/2025,https://gohuskies.com/sports/mens-soccer/stats
Princeton,https://goprincetontigers.com/sports/mens-soccer/roster/2025,https://goprincetontigers.com/sports/mens-soccer/stats
NC State,https://gopack.com/sports/mens-soccer/roster/2025,https://gopack.com/sports/mens-soccer/stats
Vermont,https://uvmathletics.com/sports/mens-soccer/roster/2025,https://uvmathletics.com/sports/mens-soccer/stats
Virginia,https://virginiasports.com/sports/msoc/roster/season/2025-26,https://virginiasports.com/sports/mens-soccer/stats
Bryant,https://bryantbulldogs.com/sports/mens-soccer/roster/2025,https://bryantbulldogs.com/sports/mens-soccer/stats
SMU,https://smumustangs.com/sports/mens-soccer/roster/2025,https://smumustangs.com/sports/mens-soccer/stats
Maryland,https://umterps.com/sports/mens-soccer/roster/2025,https://umterps.com/sports/mens-soccer/stats
San Diego,https://usdtoreros.com/sports/mens-soccer/roster/2025,https://usdtoreros.com/sports/mens-soccer/stats
Portland,https://portlandpilots.com/sports/mens-soccer/roster/2025,https://portlandpilots.com/sports/mens-soccer/stats
Georgetown,https://guhoyas.com/sports/mens-soccer/roster/2025,https://guhoyas.com/sports/mens-soccer/stats
Saint Louis,https://slubillikens.com/sports/mens-soccer/roster/2025,https://slubillikens.com/sports/mens-soccer/stats
Hofstra,https://gohofstra.com/sports/mens-soccer/roster/2025,https://gohofstra.com/sports/mens-soccer/stats
Furman,https://furmanpaladins.com/sports/mens-soccer/roster/2025,https://furmanpaladins.com/sports/mens-soccer/stats
High Point,https://highpointpanthers.com/sports/mens-soccer/roster/2025,https://highpointpanthers.com/sports/mens-soccer/stats
Akron,https://gozips.com/sports/mens-soccer/roster/2025,https://gozips.com/sports/mens-soccer/stats
Stanford,https://gostanford.com/sports/mens-soccer/roster/season/2025,https://gostanford.com/sports/mens-soccer/stats
Indiana,https://iuhoosiers.com/sports/mens-soccer/roster/2025,https://iuhoosiers.com/sports/mens-soccer/stats
UConn,https://uconnhuskies.com/sports/mens-soccer/roster/2025,https://uconnhuskies.com/sports/mens-soccer/stats
Denver,https://denverpioneers.com/sports/mens-soccer/roster/2025,https://denverpioneers.com/sports/mens-soccer/stats
Duke,https://goduke.com/sports/mens-soccer/roster/2025,https://goduke.com/sports/mens-soccer/stats
Marshall,https://herdzone.com/sports/mens-soccer/roster/2025,https://herdzone.com/sports/mens-soccer/stats
Kansas City,https://kcroos.com/sports/mens-soccer/roster/2025,https://kcroos.com/sports/mens-soccer/stats
West Virginia,https://wvusports.com/sports/mens-soccer/roster/2025,https://wvusports.com/sports/mens-soccer/stats
North Carolina,https://goheels.com/sports/mens-soccer/roster/2025,https://goheels.com/sports/mens-soccer/stats
Seton Hall,https://shupirates.com/sports/mens-soccer/roster/2025,https://shupirates.com/sports/mens-soccer/stats
UNC Greensboro,https://uncgspartans.com/sports/mens-soccer/roster/2025,https://uncgspartans.com/sports/mens-soccer/stats
Cornell,https://cornellbigred.com/sports/mens-soccer/roster/2025,https://cornellbigred.com/sports/mens-soccer/stats
Oregon State,https://osubeavers.com/sports/mens-soccer/roster/2025,https://osubeavers.com/sports/mens-soccer/statistics
UCLA,https://uclabruins.com/sports/mens-soccer/roster/2025,https://uclabruins.com/sports/mens-soccer/stats
Michigan,https://mgoblue.com/sports/mens-soccer/roster/2025,https://mgoblue.com/sports/mens-soccer/stats
UCF,https://ucfknights.com/sports/mens-soccer/roster/season/2025,https://ucfknights.com/sports/mens-soccer/stats
